"Fluid Motion";"1";"1";"0";"0";"superjoe";"There's no time to tie your shoes in this fast-paced, extremely stressful level.";"Fluid_Motion.xml";"2008-03-14 03:43:58";"16";"18";"2010-02-16 23:43:09"
"Andy's Alternate Stage 1.1";"1";"1";"0";"0";"superjoe";"1st out of 4 alternate stages I made.";"Andy_s.xml";"2008-03-15 22:30:54";"6";"10";"2010-02-20 20:47:12"
"Andy's Alternate Stage 1.2";"1";"2";"0";"0";"superjoe";"2nd out of 4 alternate stages I made.";"Andy_s_Alternate_Stage_1.xml";"2008-03-15 22:32:07";"6";"8";"2010-02-16 23:14:03"
"Andy's Alternate Stage 2.1";"2";"1";"0";"0";"superjoe";"3rd out of 4 alternate stages I made.";"Andy_s_Alternate_Stage_2.xml";"2008-03-15 22:34:51";"2";"6";"2010-02-22 19:44:40"
"Andy's Alternate Stage 2.2";"2";"2";"0";"0";"superjoe";"4th out of 4 alternate stages I made.";"Andy_s_Alternate_Sta0001.xml";"2008-03-15 22:35:39";"3";"10";"2010-02-23 14:35:26"
"Ahhhh! Meteors!";"1";"1";"1";"-1";"superjoe";"Meteors and astronauts attack you!";"Ahhhh__Meteors_.xml";"2008-03-15 22:39:49";"10";"14";"2010-02-23 15:47:40"
"Glitched";"8";"1";"2";"1";"KickCheat";"The first level in the Glitched series!";"Glitched.xml";"2008-03-25 00:54:49";"5";"12";"2010-02-23 13:30:18"
"Glitched 3";"8";"3";"2";"-1";"KickCheat";"The third level in the Glitched series.";"Glitched_3.xml";"2008-03-25 00:58:04";"6";"8";"2010-02-23 13:30:22"
"Lunar Warehouse Rescue Part 1";"5";"1";"1";"0";"KickCheat";"Part 1 in the Lunar Warehouse Rescue series!";"Lunar_Warehouse_Rescue_P.xml";"2008-03-25 00:59:31";"7";"14";"2010-02-23 09:31:40"
"Lunar Warehouse Rescue Part 2";"5";"2";"1";"0";"KickCheat";"Part 2 in the Lunar Warehouse Rescue!";"Lunar_Warehouse_Resc0001.xml";"2008-03-25 01:00:41";"6";"14";"2010-02-23 09:31:44"
"Lunar Warehouse Rescue Part 3";"5";"3";"0";"-1";"KickCheat";"Part 3 in the Lunar Warehouse series!";"Lunar_Warehouse_Resc0002.xml";"2008-03-25 01:03:14";"12";"14";"2010-02-23 09:31:49"
"Spaceship";"1";"1";"1";"1";"KickCheat";"Stinkoman aboards an enemy spaceship. Can you find the three easter eggs?";"Spaceship.xml";"2008-03-25 01:05:16";"6";"12";"2010-02-23 13:30:37"
"Forever Forest";"1";"1";"0";"0";"KickCheat";"Look at your surroundings to figure out which warp pad to take.";"Forever_Forest.xml";"2008-03-25 01:06:50";"18";"18";"2010-02-21 21:00:21"
"jaro";"5";"1";"0";"0";"monkeysky";;"jaro.xml";"2008-03-28 13:48:35";"1";"8";"2010-02-20 02:27:42"
"magicland";"5";"1";"0";"0";"monkeysky";"1-up on the moon";"magicland.xml";"2008-03-28 14:02:30";"0";"8";"2010-02-17 12:35:03"
"fort";"1";"1";"0";"0";"monkeysky";;"fort.xml";"2008-03-28 14:05:45";"1";"8";"2010-02-21 21:06:31"
"1st floor";"4";"1";"0";"0";"monkeysky";;"1st_floor.xml";"2008-03-28 14:51:12";"6";"12";"2010-02-23 15:47:23"
"chicken";"6";"1";"0";"0";"monkeysky";;"chicken.xml";"2008-03-28 14:54:31";"2";"10";"2010-02-21 21:06:26"
"mall zone";"8";"1";"0";"0";"monkeysky";;"mall_zone.xml";"2008-03-28 14:59:04";"0";"8";"2010-02-17 12:36:32"
"jail";"1";"1";"0";"0";"monkeysky";"a jail";"jail.xml";"2008-03-28 15:01:19";"2";"12";"2010-02-17 12:26:59"
"tower";"9";"1";"0";"0";"monkeysky";;"tower.xml";"2008-03-29 04:39:00";"0";"10";"2010-02-21 21:06:00"
"evil zone";"6";"1";"0";"0";"monkeysky";;"evil_zone.xml";"2008-03-29 04:39:47";"0";"8";"2010-02-17 12:19:52"
"stairs";"1";"1";"0";"0";"monkeysky";;"stairs.xml";"2008-03-29 04:40:45";"0";"10";"2010-02-17 23:56:10"
"ufo";"1";"1";"0";"0";"monkeysky";;"ufo.xml";"2008-03-29 04:43:06";"4";"14";"2010-02-19 17:28:54"
